max_bpm,avg_bpm,resting_bpm,fat_percentage,water_intake (liters)
174,152.0,74.0,12.8,2.4
166,156.0,73.0,27.9,2.8
187,166.0,64.0,28.7,1.9
187,169.0,58.0,31.8,2.4
177,169.0,66.0,26.4,3.2
161,128.0,74.0,23.4,2.5
191,142.0,74.0,11.9,3.7
181,136.0,63.0,11.6,1.8
174,169.0,64.0,27.8,2.2
195,169.0,73.0,30.5,3.2
181,155.0,55.0,31.7,2.3
168,131.0,69.0,25.4,2.4
186,145.0,50.0,14.1,2.3
176,141.0,71.0,26.0,3.0
197,148.0,74.0,32.5,2.7
161,125.0,52.0,16.0,3.5
195,141.0,55.0,23.9,3.2
171,124.0,74.0,21.9,2.1
181,128.0,74.0,26.5,1.5
184,169.0,71.0,23.8,2.3
196,136.0,74.0,26.6,1.8
173,156.0,55.0,17.5,1.6
192,130.0,74.0,31.9,2.1
177,145.0,71.0,22.0,1.7
184,140.0,74.0,26.9,2.6
165,152.0,74.0,28.9,3.3
177,165.0,55.0,33.5,1.7
188,155.0,74.0,26.4,2.5
183,169.0,67.0,20.0,3.2
189,127.0,60.0,16.9,1.6
193,141.0,55.0,32.2,3.6
198,127.0,66.0,26.8,3.1
199,158.0,50.0,21.9,3.6
180,166.0,56.0,23.0,3.0
178,147.0,51.0,23.2,2.0
\t182,156.0,56.0,25.0,2.0
192,147.0,52.0,21.2,2.4
166,125.0,74.0,25.1,2.7
160,162.0,63.0,22.6,2.5
192,154.0,73.0,27.4,2.6
194,148.0,52.0,28.3,3.4
174,155.0,68.0,17.0,2.3
,136.0,71.0,10.0,2.3
185,168.0,66.0,25.4,3.6
194,162.0,73.0,22.5,1.5
197,,52.0,27.4,3.2
185,148.0,68.0,34.8,2.0
168,125.0,72.0,26.1,2.0
199,145.0,52.0,23.0,2.7
161,,62.0,15.2,1.8
196,169.0,59.0,27.3,2.1
167,129.0,74.0,10.7,3.4
169,131.0,53.0,28.5,3.3
198,120.0,72.0,23.6,2.6
178,169.0,69.0,27.5,2.7
188,162.0,54.0,18.0,3.2
172,146.0,74.0,26.0,3.4
185,144.0,68.0,14.2,2.6
184,161.0,51.0,27.5,3.5
182,169.0,62.0,31.4,3.6
164,156.0,51.0,27.1,3.2
175,156.0,74.0,28.1,1.8
167,153.0,74.0,29.5,2.6
177,134.0,53.0,25.6,2.1
163,137.0,55.0,24.0,2.9
180,128.0,61.0,15.0,2.5
188,125.0,72.0,21.7,2.3
176,151.0,56.0,13.3,3.5
197,165.0,56.0,26.1,3.3
177,132.0,58.0,31.1,2.5
198,159.0,70.0,32.1,3.1
191,,59.0,22.2,1.6
,159.0,69.0,35.0,3.3
175,150.0,58.0,29.2,2.5
183,131.0,57.0,20.7,3.5
,137.0,72.0,16.4,2.3
175,120.0,70.0,22.6,1.7
193,169.0,68.0,18.1,3.7
177,169.0,72.0,26.2,1.6
175,141.0,54.0,32.9,2.3
172,142.0,68.0,18.9,3.2
166,146.0,58.0,31.2,2.6
193,169.0,59.0,30.9,1.9
167,144.0,68.0,10.0,3.6
170,158.0,,23.7,3.6
194,142.0,61.0,28.8,2.3
191,127.0,54.0,26.2,3.4
175,136.0,69.0,24.3,3.2
176,148.0,65.0,11.6,1.9
195,155.0,61.0,21.2,3.4
190,169.0,67.0,20.8,3.4
171,154.0,74.0,10.0,2.4
189,138.0,52.0,19.3,3.6
164,152.0,58.0,34.4,3.3
175,169.0,58.0,24.7,2.5
165,144.0,53.0,26.6,3.7
178,144.0,61.0,24.8,2.4
190,123.0,65.0,14.7,3.5
171,132.0,50.0,23.0,
190,169.0,74.0,29.2,3.7
173,136.0,74.0,20.4,1.5
\t182,142.0,52.0,22.0,2.6
195,126.0,56.0,29.1,3.7
184,143.0,56.0,17.7,2.7
187,129.0,,30.5,1.9
172,169.0,68.0,19.6,3.1
190,159.0,53.0,26.5,1.5
164,152.0,53.0,24.7,2.6
187,162.0,63.0,25.7,3.6
178,168.0,58.0,31.4,3.7
198,137.0,66.0,12.9,3.7
188,148.0,50.0,30.2,2.5
172,144.0,71.0,22.8,2.6
196,136.0,58.0,23.8,1.5
198,165.0,67.0,20.9,3.3
194,164.0,74.0,23.7,3.5
193,136.0,51.0,28.4,3.0
176,154.0,72.0,18.1,2.3
187,149.0,74.0,17.7,2.4
164,120.0,74.0,25.4,2.6
162,136.0,57.0,11.4,3.5
186,135.0,59.0,23.4,1.6
166,167.0,74.0,23.2,2.6
178,133.0,53.0,30.7,1.5
183,134.0,51.0,31.3,2.8
189,121.0,56.0,13.9,3.4
172,127.0,62.0,26.0,3.4
180,151.0,58.0,16.4,2.5
192,169.0,52.0,24.6,3.5
190,169.0,69.0,10.0,2.1
162,169.0,55.0,31.7,3.5
168,137.0,58.0,10.0,1.7
169,156.0,69.0,21.9,3.5
174,159.0,72.0,18.4,3.6
169,134.0,67.0,24.5,2.4
181,141.0,67.0,20.7,2.5
197,149.0,74.0,16.6,2.6
167,158.0,74.0,24.7,2.6
165,149.0,,,2.2
199,140.0,68.0,30.7,2.8
171,134.0,50.0,35.0,2.5
185,133.0,65.0,29.1,2.5
177,127.0,59.0,28.0,3.1
169,141.0,71.0,19.2,2.1
166,127.0,72.0,11.0,1.5
178,169.0,52.0,28.4,3.1
196,151.0,64.0,26.7,3.3
198,124.0,70.0,24.8,2.0
185,147.0,65.0,21.8,1.7
182,134.0,56.0,10.0,1.8
193,164.0,62.0,26.3,3.5
175,165.0,70.0,27.0,3.5
199,150.0,57.0,34.5,3.3
196,130.0,57.0,25.7,1.5
180,151.0,56.0,10.0,2.5
191,132.0,70.0,21.1,3.5
188,141.0,68.0,21.2,3.1
180,120.0,57.0,27.4,2.0
194,129.0,74.0,22.1,3.6
168,121.0,73.0,29.9,3.1
175,144.0,51.0,32.7,2.0
171,168.0,74.0,24.4,2.1
181,155.0,50.0,27.0,1.8
188,129.0,55.0,10.0,2.0
196,120.0,70.0,10.0,2.6
167,154.0,53.0,26.6,1.5
161,168.0,69.0,19.0,3.6
167,169.0,57.0,27.2,2.7
170,160.0,71.0,30.9,3.3
160,163.0,63.0,23.5,2.7
167,156.0,57.0,22.7,3.4
164,134.0,67.0,30.3,3.2
169,159.0,68.0,24.8,1.8
193,140.0,64.0,28.6,3.5
189,130.0,66.0,28.5,3.7
199,158.0,68.0,29.6,2.7
198,169.0,69.0,28.4,2.8
172,142.0,54.0,28.7,3.5
173,139.0,59.0,20.5,2.7
181,162.0,67.0,21.1,2.3
161,141.0,66.0,16.7,2.6
177,139.0,69.0,26.7,3.3
192,147.0,70.0,28.3,2.2
198,161.0,70.0,10.3,3.4
178,140.0,66.0,29.1,3.4
181,127.0,51.0,15.3,2.6
183,133.0,51.0,27.3,2.2
163,147.0,57.0,21.8,1.5
196,152.0,56.0,25.2,3.2
190,138.0,69.0,19.7,3.7
196,169.0,74.0,24.8,1.6
176,120.0,55.0,18.2,2.7
192,138.0,58.0,28.7,2.3
192,127.0,74.0,10.0,2.4
177,141.0,56.0,24.0,3.6
196,158.0,56.0,30.1,3.2
177,169.0,51.0,14.7,2.1
175,129.0,58.0,27.5,2.1
175,137.0,56.0,23.9,1.6
167,143.0,73.0,27.1,3.1
168,162.0,71.0,28.9,2.7
196,145.0,68.0,26.3,3.7
180,162.0,58.0,22.6,3.2
193,126.0,69.0,31.8,3.3
198,138.0,57.0,21.4,3.3
196,138.0,74.0,32.4,3.3
197,120.0,57.0,26.6,1.5
194,153.0,74.0,23.2,2.4
194,137.0,66.0,13.1,2.3
190,135.0,54.0,28.0,2.3
161,169.0,74.0,15.2,2.5
164,160.0,63.0,22.4,3.6
183,125.0,60.0,21.9,3.3
169,156.0,63.0,28.1,3.4
184,152.0,70.0,13.2,2.6
189,132.0,57.0,33.3,3.5
197,153.0,71.0,26.0,3.7
194,169.0,71.0,16.7,3.2
172,140.0,74.0,21.8,2.6
174,149.0,63.0,22.9,3.3
193,165.0,61.0,24.0,3.4
167,147.0,,25.9,2.1
164,159.0,68.0,15.8,2.5
191,129.0,72.0,17.3,1.5
176,129.0,74.0,26.7,3.4
169,169.0,70.0,24.2,2.7
