age,gender,weight (kg),height (m),bmi
34.0,Female,86.7,1.86,14.31
26.0,Female,84.7,1.83,33.49
22.0,Male,64.8,1.85,12.73
54.0,Female,75.3,1.82,20.37
34.0,Female,52.8,1.74,20.83
38.0,Female,53.0,1.58,13.02
44.0,Female,46.5,1.81,18.12
50.0,Female,88.5,1.63,19.16
18.0,Female,82.9,1.54,49.84
34.0,Female,65.9,1.74,12.32
39.0,Female,47.0,1.78,28.39
46.0,Male,40.0,1.88,12.32
19.0,Male,87.7,1.98,15.99
56.0,Female,107.4,1.73,14.48
19.0,Female,71.7,1.91,19.09
30.0,Female,90.6,1.6,13.91
23.0,Male,56.2,1.76,22.61
39.0,Female,71.3,1.77,14.31
54.0,Female,47.7,1.56,23.64
,Male,63.0,1.51,22.69
26.0,Male,129.9,1.71,21.04
22.0,Female,102.4,1.5,18.23
36.0,Female,64.2,1.78,25.59
18.0,Male,129.4,1.5,18.07
25.0,Male,57.2,1.82,15.23
59.0,Male,71.8,1.5,16.87
18.0,Male,112.4,1.71,24.43
18.0,Male,40.0,1.72,17.79
25.0,Female,64.3,1.65,20.59
32.0,Male,72.4,1.74,17.68
28.0,Male,62.4,1.56,18.61
27.0,Female,78.6,1.65,17.92
44.0,Female,45.0,1.53,27.74
20.0,Female,103.4,1.53,19.18
51.0,Male,79.2,1.85,18.95
52.0,Female,40.0,1.84,12.32
35.0,Male,75.7,1.61,23.19
21.0,Male,76.8,1.75,16.66
48.0,Female,112.6,1.69,12.32
18.0,Male,73.7,1.78,21.08
18.0,Female,84.0,1.71,17.99
28.0,Male,68.0,1.7,21.67
23.0,Male,107.6,1.5,23.77
30.0,Female,54.3,1.82,26.4
18.0,Female,42.8,1.89,18.54
37.0,,55.4,1.68,17.71
49.0,Female,102.4,1.65,15.52
42.0,Female,95.5,1.95,12.32
27.0,Female,58.7,1.98,18.99
35.0,Female,49.7,1.86,12.32
24.0,Female,86.5,1.65,12.9
44.0,Female,63.6,1.78,15.73
52.0,Male,58.7,1.58,19.62
49.0,Female,56.6,1.75,34.37
36.0,Female,40.0,1.71,39.74
23.0,Female,67.7,1.73,16.07
56.0,Female,40.0,1.74,19.63
48.0,,68.0,1.69,28.93
24.0,Male,68.3,1.74,16.26
22.0,Female,99.1,1.72,16.91
20.0,Female,72.9,1.63,19.83
44.0,Female,40.0,1.68,12.32
33.0,Female,58.3,1.77,20.47
18.0,Male,40.0,1.64,18.78
59.0,Male,45.8,1.5,26.25
27.0,Male,52.3,1.75,23.23
33.0,Female,76.3,1.95,26.08
47.0,Male,77.5,1.72,24.32
18.0,Male,,1.8,12.32
46.0,Female,40.0,1.58,12.73
27.0,Male,96.3,1.61,12.32
34.0,Female,49.6,1.52,20.97
45.0,Male,86.4,1.51,16.06
55.0,Female,68.4,1.85,22.87
18.0,Female,56.9,1.77,18.57
41.0,Female,51.1,1.94,16.41
24.0,Male,47.6,1.51,13.71
26.0,Female,88.8,1.7,30.34
18.0,,67.5,1.69,14.08
29.0,Male,96.7,1.7,13.16
26.0,,55.7,1.99,12.32
43.0,Male,112.0,1.71,21.1
48.0,Male,75.2,1.72,18.64
29.0,Female,72.0,1.66,17.55
57.0,Female,63.6,1.87,12.32
22.0,Female,75.7,1.56,13.93
20.0,Male,59.1,1.62,12.46
39.0,Female,41.3,1.76,15.36
41.0,Male,40.0,1.77,22.98
41.0,Female,63.7,1.93,15.76
31.0,Female,100.0,1.75,
20.0,Male,45.0,1.68,12.32
26.0,Male,47.1,1.61,29.91
37.0,Female,72.1,1.83,16.92
59.0,Male,57.5,1.81,12.32
22.0,Male,54.3,1.85,20.04
25.0,Male,63.9,1.67,24.51
32.0,Male,56.6,2.0,17.83
37.0,Female,68.9,1.65,20.71
29.0,Female,95.3,1.72,20.06
30.0,Female,96.3,2.0,25.83
28.0,Male,84.4,1.74,34.01
33.0,Male,60.5,1.54,21.23
48.0,Female,49.8,1.69,25.57
32.0,Male,47.2,1.81,31.5
54.0,,56.3,1.59,18.7
49.0,Male,45.0,1.84,17.11
53.0,Male,87.7,1.84,25.16
54.0,Female,46.1,1.85,20.62
18.0,Female,69.8,1.82,34.21
18.0,Male,79.2,1.77,19.07
29.0,Male,60.6,1.76,23.73
22.0,Female,53.3,1.73,13.13
20.0,Male,95.7,1.85,15.47
29.0,Female,57.4,1.74,
47.0,Male,87.3,1.9,20.1
20.0,Female,,1.75,19.66
18.0,Male,79.2,1.66,14.27
18.0,Male,73.8,1.75,17.79
33.0,Female,66.3,1.76,20.67
27.0,Male,72.8,1.82,22.59
38.0,Male,50.0,1.75,49.84
29.0,Female,93.5,1.85,19.83
54.0,Male,84.0,1.94,16.61
37.0,Female,55.3,1.73,16.26
21.0,Male,66.6,1.85,12.32
21.0,,65.8,1.62,15.3
26.0,Female,59.8,1.6,12.63
42.0,Female,80.3,1.94,33.99
31.0,Female,129.9,1.7,16.07
50.0,Female,40.0,1.75,28.18
51.0,Female,91.7,1.72,14.15
18.0,Male,64.8,1.82,17.69
54.0,Male,60.1,1.63,20.56
38.0,Female,59.0,,12.32
37.0,Male,46.3,1.69,19.11
21.0,Male,66.9,1.69,33.07
19.0,Female,40.0,1.93,12.32
32.0,Female,79.0,1.6,18.69
36.0,Female,50.1,1.85,25.82
23.0,Male,71.3,1.77,18.17
45.0,,68.3,1.75,13.23
39.0,Female,66.8,1.61,17.16
45.0,Male,53.9,1.68,20.62
33.0,Female,97.1,1.86,16.27
27.0,Female,40.0,1.57,21.11
37.0,Male,62.1,1.85,20.37
28.0,Male,60.7,1.73,20.21
18.0,Male,46.9,1.84,13.0
18.0,Female,90.8,1.66,22.03
24.0,Female,44.0,1.79,14.27
27.0,Female,75.1,1.86,14.22
23.0,Female,74.2,1.71,12.32
23.0,Female,58.2,1.85,35.08
25.0,Female,65.9,,15.58
23.0,Female,78.7,1.68,20.39
43.0,Male,74.2,1.76,20.52
18.0,Male,56.1,2.0,12.32
45.0,Female,42.1,1.86,33.0
18.0,Male,40.0,1.73,18.62
18.0,Male,40.0,1.85,21.16
20.0,Male,,1.81,22.57
22.0,Female,40.0,1.75,12.82
28.0,Female,107.7,1.99,17.86
18.0,Female,40.0,1.8,20.06
57.0,Female,70.0,1.81,12.32
55.0,Female,63.2,1.59,17.45
50.0,Male,69.6,1.71,20.42
32.0,Male,57.0,1.76,16.01
20.0,Female,75.8,1.87,12.32
18.0,Male,54.7,1.6,15.86
30.0,Male,62.2,1.69,25.59
18.0,Male,97.5,2.0,42.88
31.0,Female,51.0,1.56,25.42
