workout_type,session_duration (hours),calories_burned,workout_frequency (days/week),experience_level
Strength,1.12,712.0,5.0,2.0
Strength,1.0,833.0,5.0,2.0
Cardio,1.24,1678.0,3.0,2.0
Cardio,1.45,628.0,4.0,1.0
Strength,1.6,1286.0,4.0,2.0
HIIT,1.62,953.0,2.0,2.0
Cardio,1.46,1238.0,2.0,2.0
Strength,1.63,829.0,4.0,2.0
HIIT,0.77,802.0,3.0,1.0
Yoga,2.0,1231.0,5.0,2.0
Yoga,1.89,747.0,3.0,3.0
,2.0,672.0,2.0,2.0
Strength,1.61,1705.0,3.0,2.0
HIIT,0.65,1564.0,2.0,3.0
Cardio,1.15,464.0,4.0,2.0
Yoga,1.03,1410.0,4.0,2.0
HIIT,1.45,1195.0,4.0,1.0
Cardio,0.69,871.0,5.0,1.0
Yoga,1.5,853.0,3.0,1.0
Cardio,1.3,1136.0,3.0,2.0
Yoga,1.27,931.0,5.0,1.0
HIIT,1.44,453.0,4.0,3.0
Yoga,1.38,1708.0,,1.0
Strength,,772.0,5.0,1.0
Strength,1.15,888.0,4.0,2.0
Yoga,1.94,758.0,3.0,1.0
HIIT,1.56,1044.0,2.0,2.0
Cardio,1.51,1266.0,2.0,
Cardio,1.28,1783.0,2.0,3.0
Yoga,1.4,1090.0,2.0,1.0
Cardio,2.0,861.0,3.0,1.0
Yoga,1.61,938.0,3.0,1.0
Strength,0.7,930.0,4.0,1.0
HIIT,1.28,631.0,4.0,1.0
Strength,1.52,1355.0,4.0,1.0
Cardio,1.2,1258.0,4.0,2.0
Strength,0.92,1211.0,3.0,2.0
Strength,1.56,1152.0,3.0,1.0
Cardio,0.89,1482.0,4.0,2.0
Strength,1.18,851.0,2.0,2.0
Strength,0.92,621.0,3.0,3.0
Yoga,0.74,1464.0,3.0,2.0
Cardio,1.53,1062.0,5.0,3.0
,1.4,1415.0,3.0,1.0
,2.0,736.0,3.0,2.0
Cardio,1.04,338.0,,3.0
Cardio,1.27,980.0,5.0,
HIIT,1.91,632.0,4.0,1.0
Cardio,2.0,1119.0,2.0,3.0
Strength,1.12,867.0,4.0,3.0
Cardio,1.08,771.0,3.0,1.0
Yoga,1.34,1165.0,4.0,1.0
HIIT,1.14,900.0,3.0,
Yoga,1.12,1767.0,2.0,2.0
HIIT,1.3,1519.0,4.0,1.0
Yoga,1.76,954.0,3.0,1.0
Yoga,1.43,876.0,2.0,1.0
Yoga,1.23,695.0,2.0,1.0
Cardio,1.9,566.0,4.0,
Yoga,1.14,1105.0,4.0,1.0
Strength,1.11,582.0,3.0,2.0
Cardio,1.04,1010.0,3.0,3.0
Strength,1.41,969.0,2.0,1.0
\nStrength,0.98,468.0,3.0,3.0
\tCardio,1.98,1306.0,4.0,2.0
Strength,1.92,931.0,4.0,2.0
Strength,0.95,899.0,5.0,1.0
Cardio,1.39,679.0,2.0,3.0
HIIT,0.74,1208.0,3.0,3.0
Strength,1.29,1189.0,,2.0
Cardio,1.16,1203.0,3.0,1.0
HIIT,1.59,744.0,3.0,1.0
\tCardio,1.23,1313.0,3.0,3.0
Cardio,1.16,1020.0,4.0,2.0
Cardio,1.28,1052.0,4.0,2.0
,1.23,1084.0,3.0,2.0
Strength,0.78,583.0,5.0,1.0
Strength,1.91,1145.0,2.0,2.0
,1.07,975.0,4.0,3.0
Yoga,2.0,880.0,2.0,3.0
Strength,2.0,1583.0,4.0,1.0
HIIT,1.62,815.0,3.0,1.0
Cardio,1.54,1726.0,2.0,
HIIT,0.87,1248.0,4.0,3.0
Strength,1.56,840.0,4.0,1.0
Strength,1.23,643.0,3.0,3.0
,1.02,995.0,3.0,
Yoga,1.42,1096.0,3.0,2.0
Yoga,1.03,1238.0,5.0,1.0
HIIT,1.18,1064.0,4.0,1.0
HIIT,1.46,1573.0,4.0,2.0
Yoga,1.5,1692.0,4.0,1.0
Yoga,1.26,1095.0,3.0,3.0
Cardio,1.58,1091.0,4.0,2.0
Cardio,1.47,1349.0,5.0,2.0
\tCardio,2.0,1740.0,4.0,2.0
Strength,1.56,868.0,3.0,2.0
HIIT,1.25,1309.0,4.0,3.0
Strength,1.19,767.0,3.0,3.0
HIIT,1.49,733.0,5.0,3.0
HIIT,2.0,1095.0,5.0,2.0
Strength,1.45,1392.0,2.0,1.0
Cardio,1.27,1237.0,4.0,2.0
